series_id,date,unemployment_rate
LAUCN720630000000003,2013-01,11.2
LAUCN720650000000003,2013-01,18.1
LAUCN720670000000003,2013-01,18.7
LAUCN720690000000003,2013-01,20.0
LAUCN720710000000003,2013-01,19.2
LAUCN720730000000003,2013-01,17.2
LAUCN720750000000003,2013-01,16.4
LAUCN720770000000003,2013-01,16.2
LAUCN720790000000003,2013-01,29.6
LAUCN720810000000003,2013-01,24.4
LAUCN720830000000003,2013-01,21.2
LAUCN720850000000003,2013-01,19.0
LAUCN720870000000003,2013-01,12.8
LAUCN090050000000003,2013-01,0.0
LAUCN090030000000003,2013-01,0.0
LAUCN721530000000003,2013-01,22.7
LAUCN720670000000003,2013-02,16.4
LAUCN721330000000003,2013-02,14.8
LAUCN551190000000003,2013-02,8.3
LAUCN720150000000003,2013-02,25.5
LAUCN721050000000003,2013-02,15.5
LAUCN720830000000003,2013-02,23.4
LAUCN721470000000003,2013-02,14.7
LAUCN551350000000003,2013-02,8.5
LAUCN721290000000003,2013-02,16.4
LAUCN720310000000003,2013-02,9.3
LAUCN720250000000003,2013-02,11.8
LAUCN560230000000003,2013-02,7.4
LAUCN090010000000003,2013-02,0.0
LAUCN721510000000003,2013-02,24.4
LAUCN720630000000003,2013-02,10.8
LAUCN721190000000003,2013-02,11.6
LAUCN560190000000003,2013-02,6.5
LAUCN720650000000003,2013-02,16.9
LAUCN551330000000003,2013-02,6.3
LAUCN721530000000003,2013-02,21.2
LAUCN720090000000003,2013-02,17.4
LAUCN560450000000003,2013-02,4.4
LAUCN720430000000003,2013-02,18.9
LAUCN721090000000003,2013-02,24.9
LAUCN551390000000003,2013-02,7.2
LAUCN720290000000003,2013-02,12.5
LAUCN721370000000003,2013-02,10.0
LAUCN720590000000003,2013-02,21.4
LAUCN551170000000003,2013-02,7.4
LAUCN721230000000003,2013-02,24.4
LAUCN560210000000003,2013-02,5.8
LAUCN090050000000003,2013-02,0.0
LAUCN560310000000003,2013-02,4.8
LAUCN560090000000003,2013-02,4.3
LAUCN721490000000003,2013-02,21.0
LAUCN721450000000003,2013-02,15.8
LAUCN551370000000003,2013-02,10.3
LAUCN150050000000003,2013-02,0.0
LAUCN720070000000003,2013-02,16.7
LAUCN720850000000003,2013-02,17.5
LAUCN720190000000003,2013-02,15.3
LAUCN721070000000003,2013-02,19.9
LAUCN560170000000003,2013-02,5.7
LAUCN720410000000003,2013-02,12.8
LAUCN560250000000003,2013-02,5.1
LAUCN721010000000003,2013-02,18.7
LAUCN551230000000003,2013-02,7.5
LAUCN720710000000003,2013-02,17.2
LAUCN720730000000003,2013-02,17.6
LAUCN551270000000003,2013-02,8.3
LAUCN560430000000003,2013-02,6.3
LAUCN551070000000003,2013-02,10.2
LAUCN720390000000003,2013-02,24.0
LAUCN721170000000003,2013-02,20.6
LAUCN090070000000003,2013-02,0.0
LAUCN720110000000003,2013-02,17.8
LAUCN720970000000003,2013-02,18.2
LAUCN551090000000003,2013-02,6.8
LAUCN721310000000003,2013-02,23.1
LAUCN720750000000003,2013-02,14.6
LAUCN551250000000003,2013-02,13.1
LAUCN720790000000003,2013-02,27.4
LAUCN720330000000003,2013-02,13.1
LAUCN720990000000003,2013-02,19.2
LAUCN560130000000003,2013-02,6.8
LAUCN551290000000003,2013-02,9.6
LAUCN560330000000003,2013-02,7.3
LAUCN720370000000003,2013-02,17.8
LAUCN560270000000003,2013-02,3.7
LAUCN090110000000003,2013-02,0.0
LAUCN721030000000003,2013-02,16.3
LAUCN721390000000003,2013-02,7.3
LAUCN551210000000003,2013-02,6.9
LAUCN720810000000003,2013-02,22.8
LAUCN720130000000003,2013-02,15.4
LAUCN721410000000003,2013-02,19.3
LAUCN551310000000003,2013-02,6.6
LAUCN720270000000003,2013-02,14.1
LAUCN721210000000003,2013-02,21.4
LAUCN551050000000003,2013-02,9.0
LAUCN720230000000003,2013-02,19.9
LAUCN560110000000003,2013-02,5.7
LAUCN720030000000003,2013-02,18.2
LAUCN560390000000003,2013-02,5.9
LAUCN560350000000003,2013-02,6.0
LAUCN720690000000003,2013-02,18.2
LAUCN720570000000003,2013-02,21.1
LAUCN560150000000003,2013-02,4.5
LAUCN720610000000003,2013-02,5.8
LAUCN551110000000003,2013-02,7.9
LAUCN720350000000003,2013-02,13.2
LAUCN090150000000003,2013-02,0.0
LAUCN721150000000003,2013-02,18.4
LAUCN551150000000003,2013-02,8.9
LAUCN720170000000003,2013-02,18.4
LAUCN090090000000003,2013-02,0.0
LAUCN721250000000003,2013-02,19.8
LAUCN560010000000003,2013-02,4.3
LAUCN720530000000003,2013-02,16.1
LAUCN721110000000003,2013-02,19.8
LAUCN560290000000003,2013-02,6.5
LAUCN720050000000003,2013-02,17.4
LAUCN720930000000003,2013-02,20.2
LAUCN560030000000003,2013-02,6.0
LAUCN560410000000003,2013-02,5.9
LAUCN560070000000003,2013-02,5.3
LAUCN720010000000003,2013-02,23.3
LAUCN551130000000003,2013-02,14.0
LAUCN721130000000003,2013-02,15.0
LAUCN090030000000003,2013-02,0.0
LAUCN720910000000003,2013-02,13.4
LAUCN720210000000003,2013-02,9.8
LAUCN721350000000003,2013-02,8.9
LAUCN720540000000003,2013-02,20.7
LAUCN720470000000003,2013-02,14.4
LAUCN090130000000003,2013-02,0.0
LAUCN720490000000003,2013-02,4.0
LAUCN560050000000003,2013-02,4.9
LAUCN721430000000003,2013-02,13.3
LAUCN720890000000003,2013-02,17.6
LAUCN720510000000003,2013-02,8.2
LAUCN560370000000003,2013-02,5.0
LAUCN720450000000003,2013-02,18.9
LAUCN721270000000003,2013-02,7.8
LAUCN720770000000003,2013-02,15.1
LAUCN551410000000003,2013-02,8.7
LAUCN720950000000003,2013-02,22.6
LAUCN720870000000003,2013-02,12.0
LAUCN720550000000003,2013-02,27.3
LAUCN560390000000003,2013-03,5.8
LAUCN720690000000003,2013-03,17.7
LAUCN721430000000003,2013-03,13.0
LAUCN560330000000003,2013-03,7.0
LAUCN551170000000003,2013-03,6.9
LAUCN720890000000003,2013-03,17.0
LAUCN560110000000003,2013-03,5.5
LAUCN560250000000003,2013-03,4.8
LAUCN720030000000003,2013-03,17.5
LAUCN720230000000003,2013-03,19.1
LAUCN720510000000003,2013-03,8.3
LAUCN721210000000003,2013-03,20.5
LAUCN560350000000003,2013-03,5.7
LAUCN720010000000003,2013-03,22.5
LAUCN720590000000003,2013-03,20.4
LAUCN560050000000003,2013-03,4.7
LAUCN560030000000003,2013-03,6.1
LAUCN721030000000003,2013-03,15.8
LAUCN551210000000003,2013-03,6.7
LAUCN721390000000003,2013-03,7.1
LAUCN560410000000003,2013-03,5.7
LAUCN720450000000003,2013-03,18.7
LAUCN551310000000003,2013-03,6.2
LAUCN720810000000003,2013-03,22.6
LAUCN551130000000003,2013-03,14.1
LAUCN560070000000003,2013-03,5.0
LAUCN720130000000003,2013-03,15.0
LAUCN720270000000003,2013-03,14.0
LAUCN721410000000003,2013-03,18.5
LAUCN551050000000003,2013-03,8.5
LAUCN720670000000003,2013-03,16.1
LAUCN551410000000003,2013-03,8.3
LAUCN551290000000003,2013-03,9.0
LAUCN720490000000003,2013-03,4.2
LAUCN720990000000003,2013-03,18.5
LAUCN720970000000003,2013-03,17.7
LAUCN720910000000003,2013-03,13.1
LAUCN720110000000003,2013-03,17.5
LAUCN721130000000003,2013-03,14.6
LAUCN721090000000003,2013-03,24.0
LAUCN721310000000003,2013-03,22.7
LAUCN090030000000003,2013-03,0.0
LAUCN720750000000003,2013-03,14.0
LAUCN551250000000003,2013-03,13.3
LAUCN720570000000003,2013-03,20.5
LAUCN720330000000003,2013-03,12.8
LAUCN721530000000003,2013-03,20.4
LAUCN720790000000003,2013-03,26.5
LAUCN551090000000003,2013-03,6.4
LAUCN720390000000003,2013-03,24.6
LAUCN560270000000003,2013-03,3.7
LAUCN560130000000003,2013-03,6.3
LAUCN560150000000003,2013-03,4.5
LAUCN560370000000003,2013-03,4.8
LAUCN721010000000003,2013-03,18.7
LAUCN721170000000003,2013-03,19.9
LAUCN551230000000003,2013-03,7.2
LAUCN090130000000003,2013-03,0.0
LAUCN720710000000003,2013-03,16.5
LAUCN551110000000003,2013-03,7.5
LAUCN560430000000003,2013-03,5.9
LAUCN720730000000003,2013-03,17.2
LAUCN551390000000003,2013-03,6.9
LAUCN720470000000003,2013-03,14.0
LAUCN551270000000003,2013-03,7.9
LAUCN720870000000003,2013-03,11.8
LAUCN551070000000003,2013-03,11.0
LAUCN721350000000003,2013-03,8.6
LAUCN090070000000003,2013-03,0.0
LAUCN720930000000003,2013-03,19.8
LAUCN551370000000003,2013-03,9.8
LAUCN090110000000003,2013-03,0.0
LAUCN720170000000003,2013-03,19.6
LAUCN721330000000003,2013-03,14.7
LAUCN551190000000003,2013-03,8.0
LAUCN721370000000003,2013-03,9.8
LAUCN721070000000003,2013-03,18.8
LAUCN551150000000003,2013-03,8.6
LAUCN720770000000003,2013-03,14.7
LAUCN720150000000003,2013-03,25.0
LAUCN090090000000003,2013-03,0.0
LAUCN721470000000003,2013-03,13.6
LAUCN721230000000003,2013-03,24.1
LAUCN720830000000003,2013-03,23.3
LAUCN721050000000003,2013-03,15.3
LAUCN551350000000003,2013-03,8.3
LAUCN560170000000003,2013-03,5.2
LAUCN720610000000003,2013-03,5.6
LAUCN720070000000003,2013-03,16.1
LAUCN720310000000003,2013-03,8.9
LAUCN721490000000003,2013-03,20.8
LAUCN720210000000003,2013-03,9.5
LAUCN721450000000003,2013-03,15.7
LAUCN720540000000003,2013-03,20.3
LAUCN150050000000003,2013-03,0.0
LAUCN090010000000003,2013-03,0.0
LAUCN720190000000003,2013-03,14.5
LAUCN090150000000003,2013-03,0.0
LAUCN560090000000003,2013-03,4.1
LAUCN720430000000003,2013-03,18.5
LAUCN721150000000003,2013-03,18.2
LAUCN090050000000003,2013-03,0.0
LAUCN720850000000003,2013-03,16.8
LAUCN560450000000003,2013-03,4.1
LAUCN720350000000003,2013-03,13.0
LAUCN721250000000003,2013-03,19.1
LAUCN720250000000003,2013-03,11.5
LAUCN720950000000003,2013-03,21.9
LAUCN560010000000003,2013-03,4.1
LAUCN721190000000003,2013-03,11.2
LAUCN720630000000003,2013-03,10.4
LAUCN720050000000003,2013-03,16.7
LAUCN721110000000003,2013-03,18.7
LAUCN720650000000003,2013-03,16.4
LAUCN560210000000003,2013-03,5.3
LAUCN721510000000003,2013-03,23.8
LAUCN560290000000003,2013-03,6.4
LAUCN720090000000003,2013-03,16.4
LAUCN560190000000003,2013-03,6.0
LAUCN720290000000003,2013-03,12.3
LAUCN721270000000003,2013-03,7.5
LAUCN720410000000003,2013-03,12.4
LAUCN720370000000003,2013-03,16.6
LAUCN551330000000003,2013-03,5.9
LAUCN720530000000003,2013-03,15.7
LAUCN720550000000003,2013-03,26.0
LAUCN721290000000003,2013-03,16.5
LAUCN560310000000003,2013-03,4.6
LAUCN560230000000003,2013-03,7.3
LAUCN720230000000003,2013-04,18.6
LAUCN720970000000003,2013-04,17.5
LAUCN720830000000003,2013-04,21.3
LAUCN551150000000003,2013-04,7.9
LAUCN721310000000003,2013-04,23.1
LAUCN560170000000003,2013-04,4.6
LAUCN560350000000003,2013-04,5.1
LAUCN720870000000003,2013-04,11.2
LAUCN551210000000003,2013-04,5.9
LAUCN720350000000003,2013-04,12.7
LAUCN720370000000003,2013-04,16.5
LAUCN560370000000003,2013-04,4.2
LAUCN721490000000003,2013-04,20.1
LAUCN720790000000003,2013-04,25.7
LAUCN720270000000003,2013-04,13.7
LAUCN551170000000003,2013-04,6.3
LAUCN720850000000003,2013-04,16.1
LAUCN560450000000003,2013-04,3.6
LAUCN560130000000003,2013-04,5.6
LAUCN551230000000003,2013-04,6.2
LAUCN721170000000003,2013-04,19.5
LAUCN560430000000003,2013-04,5.2
LAUCN721190000000003,2013-04,10.6
LAUCN720210000000003,2013-04,9.0
LAUCN720070000000003,2013-04,15.6
LAUCN720890000000003,2013-04,16.7
LAUCN720050000000003,2013-04,16.0
LAUCN090090000000003,2013-04,0.0
LAUCN720950000000003,2013-04,20.7
LAUCN560150000000003,2013-04,4.5
LAUCN551190000000003,2013-04,7.1
LAUCN720090000000003,2013-04,15.5
LAUCN720810000000003,2013-04,24.4
LAUCN721290000000003,2013-04,15.5
LAUCN720910000000003,2013-04,12.5
LAUCN720930000000003,2013-04,18.7
LAUCN551110000000003,2013-04,6.7
LAUCN551130000000003,2013-04,12.7
LAUCN720770000000003,2013-04,14.1
LAUCN720250000000003,2013-04,10.9
LAUCN721090000000003,2013-04,23.1
LAUCN551390000000003,2013-04,6.4
LAUCN720590000000003,2013-04,20.7
LAUCN560210000000003,2013-04,4.8
LAUCN721230000000003,2013-04,23.3
LAUCN560310000000003,2013-04,3.9
LAUCN560090000000003,2013-04,3.6
LAUCN720190000000003,2013-04,13.5
LAUCN721070000000003,2013-04,17.4
LAUCN551370000000003,2013-04,8.8
LAUCN721450000000003,2013-04,14.9
LAUCN150050000000003,2013-04,0.0
LAUCN090050000000003,2013-04,0.0
LAUCN720430000000003,2013-04,18.4
LAUCN720310000000003,2013-04,8.4
LAUCN551090000000003,2013-04,5.6
LAUCN721330000000003,2013-04,16.8
LAUCN721370000000003,2013-04,9.5
LAUCN720150000000003,2013-04,24.2
LAUCN721470000000003,2013-04,14.0
LAUCN090010000000003,2013-04,0.0
LAUCN721050000000003,2013-04,14.8
LAUCN720570000000003,2013-04,20.1
LAUCN720290000000003,2013-04,11.7
LAUCN551410000000003,2013-04,7.5
LAUCN560410000000003,2013-04,5.1
LAUCN721530000000003,2013-04,19.5
LAUCN090030000000003,2013-04,0.0
LAUCN721130000000003,2013-04,14.8
LAUCN721350000000003,2013-04,8.1
LAUCN720470000000003,2013-04,13.1
LAUCN720490000000003,2013-04,4.3
LAUCN560050000000003,2013-04,4.4
LAUCN090130000000003,2013-04,0.0
LAUCN720010000000003,2013-04,21.7
LAUCN720510000000003,2013-04,7.8
LAUCN560070000000003,2013-04,4.4
LAUCN551350000000003,2013-04,7.6
LAUCN560030000000003,2013-04,5.2
LAUCN560290000000003,2013-04,5.4
LAUCN720530000000003,2013-04,15.3
LAUCN721250000000003,2013-04,18.3
LAUCN721110000000003,2013-04,18.4
LAUCN560010000000003,2013-04,3.5
LAUCN720170000000003,2013-04,19.6
LAUCN721150000000003,2013-04,17.7
LAUCN720540000000003,2013-04,19.0
LAUCN720450000000003,2013-04,17.7
LAUCN090150000000003,2013-04,0.0
LAUCN720550000000003,2013-04,25.7
LAUCN721270000000003,2013-04,7.1
LAUCN560230000000003,2013-04,6.4
LAUCN720610000000003,2013-04,5.3
LAUCN721030000000003,2013-04,15.1
LAUCN720110000000003,2013-04,17.2
LAUCN551070000000003,2013-04,9.1
LAUCN720670000000003,2013-04,16.1
LAUCN720710000000003,2013-04,15.8
LAUCN551050000000003,2013-04,7.7
LAUCN721410000000003,2013-04,17.8
LAUCN551310000000003,2013-04,5.9
LAUCN721390000000003,2013-04,6.7
LAUCN720990000000003,2013-04,17.9
LAUCN560330000000003,2013-04,5.9
LAUCN720390000000003,2013-04,24.3
LAUCN721210000000003,2013-04,19.7
LAUCN090070000000003,2013-04,0.0
LAUCN720030000000003,2013-04,17.0
LAUCN560110000000003,2013-04,4.9
LAUCN720690000000003,2013-04,17.3
LAUCN720730000000003,2013-04,16.1
LAUCN560390000000003,2013-04,8.6
LAUCN551270000000003,2013-04,7.0
LAUCN560270000000003,2013-04,3.4
LAUCN721510000000003,2013-04,22.8
LAUCN720630000000003,2013-04,9.8
LAUCN560250000000003,2013-04,4.4
LAUCN720650000000003,2013-04,15.3
LAUCN551250000000003,2013-04,12.2
LAUCN551330000000003,2013-04,5.5
LAUCN720130000000003,2013-04,14.3
LAUCN560190000000003,2013-04,5.4
LAUCN720410000000003,2013-04,11.9
LAUCN720750000000003,2013-04,13.6
LAUCN090110000000003,2013-04,0.0
LAUCN720330000000003,2013-04,12.1
LAUCN721430000000003,2013-04,12.7
LAUCN551290000000003,2013-04,8.3
LAUCN721010000000003,2013-04,17.8
LAUCN551070000000003,2013-05,8.4
LAUCN720950000000003,2013-05,20.4
LAUCN721290000000003,2013-05,15.8
LAUCN720010000000003,2013-05,21.8
LAUCN720930000000003,2013-05,19.8
LAUCN721170000000003,2013-05,18.9
LAUCN090130000000003,2013-05,0.0
LAUCN720990000000003,2013-05,18.2
LAUCN720330000000003,2013-05,12.5
LAUCN551130000000003,2013-05,10.5
LAUCN721130000000003,2013-05,15.3
LAUCN551090000000003,2013-05,5.3
LAUCN721270000000003,2013-05,7.5
LAUCN560250000000003,2013-05,4.3
LAUCN560410000000003,2013-05,5.1
LAUCN721150000000003,2013-05,18.3
LAUCN720050000000003,2013-05,16.5
LAUCN721510000000003,2013-05,23.5
LAUCN721370000000003,2013-05,9.9
LAUCN560190000000003,2013-05,4.7
LAUCN090110000000003,2013-05,0.0
LAUCN720310000000003,2013-05,8.7
LAUCN150050000000003,2013-05,0.0
LAUCN720270000000003,2013-05,14.1
LAUCN721070000000003,2013-05,17.4
LAUCN721030000000003,2013-05,15.6
LAUCN551050000000003,2013-05,7.5
LAUCN560450000000003,2013-05,3.6
LAUCN560210000000003,2013-05,4.5
LAUCN560170000000003,2013-05,4.5
LAUCN551110000000003,2013-05,6.0
LAUCN721090000000003,2013-05,23.4
LAUCN720030000000003,2013-05,17.6
LAUCN720290000000003,2013-05,12.2
LAUCN721050000000003,2013-05,15.4
LAUCN090150000000003,2013-05,0.0
LAUCN720970000000003,2013-05,18.5
LAUCN560390000000003,2013-05,6.8
LAUCN721010000000003,2013-05,18.3
LAUCN721110000000003,2013-05,19.2
LAUCN720850000000003,2013-05,16.7
LAUCN560430000000003,2013-05,4.7
LAUCN551250000000003,2013-05,9.7
LAUCN720690000000003,2013-05,17.6
LAUCN560330000000003,2013-05,5.2
LAUCN551290000000003,2013-05,7.0
LAUCN720130000000003,2013-05,14.9
LAUCN551390000000003,2013-05,6.4
LAUCN720190000000003,2013-05,14.6
LAUCN720250000000003,2013-05,11.1
LAUCN720710000000003,2013-05,16.1
LAUCN720570000000003,2013-05,21.0
LAUCN720730000000003,2013-05,17.5
LAUCN720590000000003,2013-05,21.4
LAUCN551270000000003,2013-05,6.5
LAUCN720390000000003,2013-05,25.2
LAUCN720110000000003,2013-05,17.8
LAUCN551410000000003,2013-05,6.9
LAUCN720750000000003,2013-05,14.8
LAUCN720610000000003,2013-05,5.5
LAUCN720450000000003,2013-05,19.6
LAUCN720550000000003,2013-05,26.1
LAUCN720770000000003,2013-05,14.6
LAUCN720790000000003,2013-05,26.3
LAUCN721310000000003,2013-05,23.4
LAUCN090070000000003,2013-05,0.0
LAUCN720540000000003,2013-05,19.5
LAUCN560110000000003,2013-05,4.2
LAUCN721230000000003,2013-05,24.7
LAUCN721470000000003,2013-05,14.6
LAUCN720630000000003,2013-05,10.3
LAUCN560230000000003,2013-05,5.4
LAUCN551350000000003,2013-05,7.2
LAUCN720430000000003,2013-05,19.2
LAUCN720150000000003,2013-05,25.0
LAUCN090050000000003,2013-05,0.0
LAUCN720650000000003,2013-05,15.3
LAUCN551330000000003,2013-05,5.5
LAUCN721450000000003,2013-05,15.4
LAUCN551310000000003,2013-05,5.7
LAUCN720410000000003,2013-05,12.0
LAUCN560270000000003,2013-05,3.3
LAUCN551370000000003,2013-05,8.2
LAUCN090010000000003,2013-05,0.0
LAUCN721390000000003,2013-05,7.0
LAUCN560090000000003,2013-05,3.5
LAUCN720910000000003,2013-05,12.8
LAUCN720670000000003,2013-05,16.4
LAUCN721410000000003,2013-05,18.6
LAUCN560310000000003,2013-05,3.6
LAUCN721210000000003,2013-05,19.9
LAUCN721430000000003,2013-05,13.3
LAUCN560130000000003,2013-05,5.1
LAUCN721330000000003,2013-05,19.1
LAUCN720470000000003,2013-05,13.7
LAUCN560290000000003,2013-05,4.7
LAUCN720490000000003,2013-05,4.3
LAUCN720350000000003,2013-05,13.0
LAUCN720830000000003,2013-05,22.8
LAUCN560030000000003,2013-05,4.7
LAUCN560050000000003,2013-05,4.2
LAUCN721490000000003,2013-05,20.8
LAUCN551190000000003,2013-05,5.9
LAUCN551150000000003,2013-05,7.2
LAUCN720070000000003,2013-05,16.1
LAUCN090090000000003,2013-05,0.0
LAUCN560070000000003,2013-05,4.0
LAUCN551170000000003,2013-05,6.1
LAUCN720210000000003,2013-05,9.3
LAUCN720510000000003,2013-05,8.4
LAUCN720870000000003,2013-05,11.9
LAUCN721190000000003,2013-05,11.0
LAUCN720090000000003,2013-05,16.1
LAUCN090030000000003,2013-05,0.0
LAUCN551230000000003,2013-05,5.7
LAUCN721530000000003,2013-05,20.0
LAUCN720170000000003,2013-05,20.8
LAUCN560350000000003,2013-05,4.5
LAUCN560370000000003,2013-05,4.1
LAUCN560010000000003,2013-05,3.5
LAUCN720890000000003,2013-05,17.4
LAUCN720230000000003,2013-05,19.5
LAUCN720810000000003,2013-05,24.8
LAUCN560150000000003,2013-05,4.2
LAUCN551210000000003,2013-05,5.4
LAUCN721250000000003,2013-05,18.9
LAUCN721350000000003,2013-05,8.6
LAUCN720370000000003,2013-05,16.6
LAUCN720530000000003,2013-05,15.8
LAUCN720430000000003,2013-06,19.9
LAUCN721350000000003,2013-06,9.0
LAUCN551370000000003,2013-06,8.7
LAUCN560050000000003,2013-06,4.5
LAUCN720490000000003,2013-06,5.0
LAUCN720610000000003,2013-06,5.7
LAUCN721070000000003,2013-06,18.1
LAUCN150050000000003,2013-06,0.0
LAUCN090130000000003,2013-06,0.0
LAUCN721450000000003,2013-06,15.9
LAUCN720310000000003,2013-06,9.0
LAUCN721110000000003,2013-06,20.0
LAUCN560090000000003,2013-06,3.8
LAUCN720170000000003,2013-06,21.2
LAUCN720550000000003,2013-06,26.4
LAUCN560010000000003,2013-06,4.3
LAUCN090150000000003,2013-06,0.0
LAUCN720450000000003,2013-06,20.1
LAUCN560410000000003,2013-06,5.6
LAUCN720290000000003,2013-06,12.4
LAUCN551410000000003,2013-06,7.5
LAUCN720530000000003,2013-06,16.7
LAUCN720570000000003,2013-06,21.4
LAUCN720010000000003,2013-06,22.4
LAUCN720190000000003,2013-06,15.2
LAUCN560030000000003,2013-06,5.2
LAUCN721090000000003,2013-06,23.5
LAUCN551390000000003,2013-06,7.0
LAUCN720590000000003,2013-06,21.9
LAUCN720470000000003,2013-06,15.3
LAUCN720540000000003,2013-06,19.7
LAUCN560310000000003,2013-06,4.4
LAUCN560070000000003,2013-06,4.0
LAUCN721130000000003,2013-06,15.6
LAUCN720510000000003,2013-06,8.6
LAUCN560290000000003,2013-06,4.6
LAUCN551130000000003,2013-06,10.1
LAUCN721030000000003,2013-06,15.7
LAUCN721470000000003,2013-06,14.8
LAUCN720050000000003,2013-06,17.1
LAUCN720830000000003,2013-06,23.5
LAUCN720090000000003,2013-06,16.2
LAUCN721290000000003,2013-06,16.5
LAUCN720370000000003,2013-06,17.6
LAUCN551210000000003,2013-06,5.7
LAUCN721490000000003,2013-06,21.2
LAUCN720810000000003,2013-06,23.3
LAUCN560350000000003,2013-06,4.6
LAUCN551230000000003,2013-06,6.1
LAUCN721270000000003,2013-06,7.6
LAUCN560130000000003,2013-06,5.6
LAUCN721310000000003,2013-06,22.9
LAUCN720790000000003,2013-06,26.1
